"16U BOYS D1 HOT! RESULTS BRACKETS A A1-BERKELEY A2-PATRIOT A A3-680 A SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-MISSION B2-LAMORINDA B3-NEWPORT BEACH A B","64 GAMES SUBMIT SCORES LOGIN C C1-STANFORD A C2-LA PREMIER C3-AMERICAN RIVER A C","24+22+18 TICKETS D D1-LA JOLLA UNITED D2-CCU A D3-SAN DIEGO SHORES A D","7 minute quarters OFFICIAL MERCHANDISE E E1-CLOVIS E2-IMPERIAL E3-SANTA BARBARA E","CUSTOM SUITS F F1-VANGUARD A F2-SD DONS F3-CARLSBAD F","G G1-SJ FOUNDATION G2-THUNDER G3-TROJAN CARDINAL G","H H1-CIU H2-GREENWICH H3-SAND CANYON A H","","","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","YORBA LINDA HS","16BD155","K1(2ndE)-SANTA BARBARA","9","K2(2ndF)-VANGUARD A","15","17-20 RR K1,K2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","YORBA LINDA HS","16BD158","K3(2ndG)-SJ FOUNDATION","11","K4(2ndH)-GREENWICH","12","17-20 RR K3,K4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","YORBA LINDA HS","16BD161","M1(3rdE)-CLOVIS","6","M2(3rdF)-CARLSBAD","14","21-24 RR M1,M2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","YORBA LINDA HS","16BD148","M3(3rdG)-THUNDER","12","M4(3rdH)-SAND CANYON A","16","21-24 RR M3,M4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","OCEAN VIEW HS","16BD149","N1(L#Playin3)-680 A","13","N4(L#Playin2)-CCU A","9","9th-12th semi 9v12","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","OCEAN VIEW HS","16BD152","N2(L#Playin4)-PATRIOT A","8","N3(L#Playin1)-AMERICAN RIVER A","3","9th-12th semi 10v11","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","OCEAN VIEW HS","16BD154","P1(L#Qtr4)-LA JOLLA UNITED","9","P4(L#Qtr3)-NEWPORT BEACH A","13","5th-8th semi 5v8","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","OCEAN VIEW HS","16BD156","P2(L#Qtr2)-BERKELEY","13","P3(L#Qtr1)-SAN DIEGO SHORES A","15","5th-8th semi 6v7","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","WESTMINSTER HS","16BD163","W#P1/P4-NEWPORT BEACH A","12","W#P2/P3-SAN DIEGO SHORES A","6","5th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","3:00 PM","WESTMINSTER HS","16BD164","L#P1/P4-LA JOLLA UNITED","13","L#P2/P3-BERKELEY","8","7th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","MARINA HS","16BD159","W#N1/N4-680 A","8","W#N2/N3-PATRIOT A","11","9th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","3:00 PM","MARINA HS","16BD162","L#N1/N4-CCU A","16","L#N2/N3-AMERICAN RIVER A","6","11th","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","","","LA PREMIER","","","","","","","","","","","","","","","","","","",""
"","","","","","","MISSION","","","","","","","","","","","","","","","","","","",""
"","","","","","","STANFORD A","","","","","","","","","","","","","","","","","","",""
"","","","","","","LAMORINDA","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN DIEGO SHORES A","","","","","","","","","","","","","","","","","","",""
"","","","","","","LA JOLLA UNITED","","","","","","","","","","","","","","","","","","",""
"","","","","","","BERKELEY","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT A","","","","","","","","","","","","","","","","","","",""
"","","","","","","680 A","","","","","","","","","","","","","","","","","","",""
"","","","","","","CCU A","","","","","","","","","","","","","","","","","","",""
"","","","","","","AMERICAN RIVER A","","","","","","","","","","","","","","","","","","",""
"","","","","","","TROJAN CARDINAL","","","","","","","","","","","","","","","","","","",""
"","","","","","","IMPERIAL","","","","","","","","","","","","","","","","","","",""
"","","","","","","CIU","","","","","","","","","","","","","","","","","","",""
"","","","","","","SD DONS","","","","","","","","","","","","","","","","","","",""
"","","4","1","SANTA BARBARA","","VANGUARD A","","","","","","","","","","","","","","","","","","",""
"","","4","4","VANGUARD A","","GREENWICH","","","","","","","","","","","","","","","","","","",""
"","","1","1","SJ FOUNDATION","","SANTA BARBARA","","","","","","","","","","","","","","","","","","",""
"","","1","4","GREENWICH","","SJ FOUNDATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAND CANYON A","","","","","","","","","","","","","","","","","","",""
"","","1","1","CLOVIS","","THUNDER","","","","","","","","","","","","","","","","","","",""
"","","3","4","CARLSBAD","","CARLSBAD","","","","","","","","","","","","","","","","","","",""
"","","4","1","THUNDER","","CLOVIS","","","","","","","","","","","","","","","","","","",""
"","","4","4","SAND CANYON A","","","","","","","","","","","","","","","","","","","","",""
