"14U BOYS D1 HOT! RESULTS BRACKETS A A1-PATRIOT A A2-VANGUARD A A3-CIU SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-LA JOLLA UNITED A B2-NEWPORT BEACH A B3-LAMORINDA B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS C2-OVAC C3-NORCAL A C","24+22+18 TICKETS D D1-LA PREMIER D2-MISSION A D3-SAN DIEGO SHORES D","7 minute quarters OFFICIAL MERCHANDISE E E1-908 E2-STANFORD A E3-SAN CLEMENTE E","CUSTOM SUITS F F1-COMMERCE F2-SOUTH COAST RED F3-DIABLO ALLIANCE A F","G G1-NORTH IRVINE A G2-SOCAL G3-DAVIS G","H H1-CDM H2-CCU A H3-PEGASUS H","","","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","CORONA DEL MAR HS","14BD134","K1(2ndE)-STANFORD A","14","K3(2ndG)-DAVIS","5","17-20 RR K1,K3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","CORONA DEL MAR HS","14BD136","K2(2ndF)-SOUTH COAST RED","4.7","K4(2ndH)-CDM","4.6","17-20 RR K2,K4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","CORONA DEL MAR HS","14BD138","M1(3rdE)-SAN CLEMENTE","14","M3(3rdG)-SOCAL","13","21-24 RR M1,M3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","CORONA DEL MAR HS","14BD140","M2(3rdF)-DIABLO ALLIANCE A","13","M4(3rdH)-PEGASUS","11","21-24 RR M2,M4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","CORONA DEL MAR HS","14BD142","J1(L#Cross1)-VANGUARD A","11","J4(L#Cross4)-SAN DIEGO SHORES","12","13-16 semi 16v13","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","CORONA DEL MAR HS","14BD144","J2(L#Cross2)-NORTH IRVINE A","6","J3(L#Cross3)-COMMERCE","9","13-16 semi 15v14","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","WOOLLETT LEFT","14BD147","W#Qtr2-SD DONS","5","W#Qtr1-MISSION A","10","Semi1 1v4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","WOOLLETT NEAR RIGHT","14BD150","W#Qtr4-LA JOLLA UNITED A","16","W#Qtr3-NORCAL A","11","Semi2 2v3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","WOOLLETT NEAR RIGHT","14BD157","L#Semi1-SD DONS","7","L#Semi2-NORCAL A","10","3rd","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:10 AM","WOOLLETT LEFT","14BD160","W#Semi1-MISSION A","9","W#Semi2-LA JOLLA UNITED A","12","1st","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","FULLERTON HS","14BD151","W#J1/J4-SAN DIEGO SHORES","13","W#J2/J3-COMMERCE","11","13th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","FULLERTON HS","14BD153","L#J1/J4-VANGUARD A","11","L#J2/J3-NORTH IRVINE A","5","15th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
