"18U BOYS D1 HOT! RESULTS BRACKETS A A1-STANFORD A A2-CIU A3-SD DONS SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-SAN DIEGO SHORES B2-ATHERTON B3-SHAQ B","64 GAMES SUBMIT SCORES LOGIN C C1-LAMORINDA C2-TROJAN CARDINAL A C3-AETOS C","24+22+18 TICKETS D D1-LA JOLLA UNITED A D2-CCU A D3-NEWPORT BEACH D","7 minute quarters OFFICIAL MERCHANDISE E E1-LA PREMIER E2-SAN JOSE EXPRESS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-IMPERIAL F2-DIABLO ALLIANCE F3-SOUTH COAST F","G G1-CLOVIS G2-NORTH IRVINE G3-SAND CANYON G","H H1-NORCAL H2-GREENWICH H3-AMERICAN RIVER H","","","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","WESTMINSTER HS","18BD151","W#J1/J4-CIU","7","W#J2/J3-TROJAN CARDINAL A","10","13th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","WESTMINSTER HS","18BD153","L#J2/J3-CLOVIS","16","L#J1/J4-LA PREMIER","15","15th","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","CAPISTRANO VALLEY HS","18BD161","M1(3rdE)-SAN JOSE EXPRESS","12.2","M2(3rdF)-SOUTH COAST","12.4","21-24 RR M1,M2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","CAPISTRANO VALLEY HS","18BD148","M3(3rdG)-SAND CANYON","10","M4(3rdH)-AMERICAN RIVER","8","21-24 RR M3,M4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","GOLDEN WEST COLLEGE","18BD155","K1(2ndE)-SAN FRANCISCO","11.6","K2(2ndF)-DIABLO ALLIANCE","11.5","17-20 RR K1,K2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","GOLDEN WEST COLLEGE","18BD158","K3(2ndG)-NORTH IRVINE","11.6","K4(2ndH)-NORCAL","11.5","17-20 RR K3,K4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","","","","","STANFORD A","","","","","","","","","","","","","","","","",""
"","","","","","","","","SD DONS","","","","","","","","","","","","","","","","",""
"","","","","","","","","ATHERTON","","","","","","","","","","","","","","","","",""
"","","","","","","","","CCU A","","","","","","","","","","","","","","","","",""
"","","","","","","","","NEWPORT BEACH","","","","","","","","","","","","","","","","",""
"","","","","","","","","SAN DIEGO SHORES","","","","","","","","","","","","","","","","",""
"","","","","","","","","LAMORINDA","","","","","","","","","","","","","","","","",""
"","","","","","","","","AETOS","","","","","","","","","","","","","","","","",""
"","","","","","","","","GREENWICH","","","","","","","","","","","","","","","","",""
"","","","","","","","","IMPERIAL","","","","","","","","","","","","","","","","",""
"","","","","","","","","SHAQ","","","","","","","","","","","","","","","","",""
"","","","","","","","","LA JOLLA UNITED A","","","","","","","","","","","","","","","","",""
"","","","","","","","","TROJAN CARDINAL A","","","","","","","","","","","","","","","","",""
"","","","","","","","","CIU","","","","","","","","","","","","","","","","",""
"","","5","1","1","3","SAN FRANCISCO","","CLOVIS","","","","","","","","","","","","","","","","",""
"","","4","1","1","2","DIABLO ALLIANCE","","LA PREMIER","","","","","","","","","","","","","","","","",""
"","","11","4","4","3","NORTH IRVINE","","NORTH IRVINE","RR","","","","","","","","","","","","","","","",""
"","","10","4","4","2","NORCAL","","NORCAL","RR","","","","","","","","","","","","","","","",""
"","","","","","","","","SAN FRANCISCO","RR","","","","","","","","","","","","","","","",""
"","","","","","","","","DIABLO ALLIANCE","RR","","","","","","","","","","","","","","","",""
"","","11","4","4","3","SOUTH COAST","","SOUTH COAST","RR","","","","","","","","","","","","","","","",""
"","","7","1","4","2","SAN JOSE EXPRESS","","SAN JOSE EXPRESS","RR","","","","","","","","","","","","","","","",""
"","","6","1","1","4","SAND CANYON","","SAND CANYON","RR","","","","","","","","","","","","","","","",""
"","","6","1","4","1","AMERICAN RIVER","","AMERICAN RIVER","RR","","","","","","","","","","","","","","","",""
"","","","","","","H2H","","","","","","","","","","","","","","","","","","",""
