DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION,SORTKEY
20-Jun,11:00 AM,BECKMAN HS,14GD124,2ndA-GREENWICH,5,W#3B/2F-SAN DIEGO SHORES A,13,Play in 4 8v10,14U_GIRLS_D1,202606201100
20-Jun,12:00 PM,SERVITE HS,14GD125,2ndC-STANFORD A,10,W#3D/1E-SAN CLEMENTE A,4,Play in 2,14U_GIRLS_D1,202606201200
20-Jun,12:00 PM,BECKMAN HS,14GD126,2ndD-COMMERCE,10.1,W#3C/1F-SAN DIEGO DONS,10.3,Play in 1 5v11,14U_GIRLS_D1,202606201200
20-Jun,1:00 PM,SERVITE HS,14GD127,H1(3rdF)-SAN JOSE EXPRESS,7,H3(L#cross4)-SHORE AQUATICS,15,H bracket H1.H3,14U_GIRLS_D1,202606201300
20-Jun,1:00 PM,BECKMAN HS,14GD128,G1(3rdE)-TEMPLE CITY,4,G3(L#cross3)-CDM,8,"G bracket G1,G3",14U_GIRLS_D1,202606201300
20-Jun,2:00 PM,SERVITE HS,14GD129,1stD-SANTA CRUZ,18,W#playin3-SANTA BARBARA,14,QF1 4v7,14U_GIRLS_D1,202606201400
20-Jun,2:00 PM,BECKMAN HS,14GD130,1stC-PATRIOT A,12,W#playin4-SAN DIEGO SHORES A,11,QF3 3v8,14U_GIRLS_D1,202606201400
20-Jun,3:00 PM,SERVITE HS,14GD131,1stA-908,11,W#playin2-STANFORD A,5,QF2 1v6,14U_GIRLS_D1,202606201500
20-Jun,3:00 PM,BECKMAN HS,14GD132,1stB-LAMORINDA A,5,W#playin1-SAN DIEGO DONS,4,QF4 2v5,14U_GIRLS_D1,202606201500
20-Jun,4:00 PM,SERVITE HS,14GD133,J1(L#playin3)-ARROYO GRANDE,6,J4(L#playin2)-SAN CLEMENTE A,15,9v12 semi,14U_GIRLS_D1,202606201600
20-Jun,4:00 PM,BECKMAN HS,14GD134,J2(L#playin4)-GREENWICH,5,J3(L#playin1)-COMMERCE,8,10v11 semi,14U_GIRLS_D1,202606201600
20-Jun,5:00 PM,SERVITE HS,14GD135,H2(L#cross1)-CCU,8,H3(L#cross4)-SHORE AQUATICS,5,H bracket H1.H3,14U_GIRLS_D1,202606201700
20-Jun,5:00 PM,BECKMAN HS,14GD136,G2(L#cross2)-LAGUNA BEACH,11,G3(L#cross3)-CDM,12,"G bracket G2,G3",14U_GIRLS_D1,202606201700
21-Jun,8:00 AM,WESTMINSTER HS,14GD137,G1(3rdE)-TEMPLE CITY,11.3,G2(L#cross2)-LAGUNA BEACH,11.1,"G bracket G1,G2",14U_GIRLS_D1,202606210800
21-Jun,8:00 AM,WOOLLETT NEAR RIGHT,14GD146,M1(W#QF2)-908,21,M4(W#QF1)-SANTA CRUZ,6,1v4 semi,14U_GIRLS_D1,202606210800
21-Jun,9:00 AM,WESTMINSTER HS,14GD138,H1(3rdF)-SAN JOSE EXPRESS,5,H2(L#cross1)-CCU,6,H bracket H1.H2,14U_GIRLS_D1,202606210900
21-Jun,9:00 AM,WOOLLETT NEAR RIGHT,14GD147,M2(W#QF4)-LAMORINDA A,1,M3(W#QF3)-PATRIOT A,8,2v3 semi,14U_GIRLS_D1,202606210900
21-Jun,10:00 AM,WESTMINSTER HS,14GD139,K1(L#QF4)-SAN DIEGO DONS,5,K4(L#QF3)-SAN DIEGO SHORES A,11,5v8 semi,14U_GIRLS_D1,202606211000
21-Jun,11:00 AM,WESTMINSTER HS,14GD140,K2(L#QF2)-STANFORD A,8,K3(L#QF1)-SANTA BARBARA,6,6v7 semi,14U_GIRLS_D1,202606211100
21-Jun,12:00 PM,WESTMINSTER HS,14GD141,1stG-CDM,6,1stH-CCU,7,13th,14U_GIRLS_D1,202606211200
21-Jun,12:10 PM,WOOLLETT LEFT,14GD149,W#M1/M4-908,16,W#M2/M3-PATRIOT A,12,1st,14U_GIRLS_D1,202606211210
21-Jun,1:00 PM,WESTMINSTER HS,14GD142,2ndG-TEMPLE CITY,4,2ndH-SHORE AQUATICS,11,15th,14U_GIRLS_D1,202606211300
21-Jun,2:00 PM,WESTMINSTER HS,14GD143,3rdG-LAGUNA BEACH,11,3rdH-SAN JOSE EXPRESS,10,17th,14U_GIRLS_D1,202606211400
21-Jun,2:00 PM,WOOLLETT NEAR RIGHT,14GD148,L#M2/M3-LAMORINDA A,10,L#M1/M4-SANTA CRUZ,3,3rd,14U_GIRLS_D1,202606211400
21-Jun,2:00 PM,EL MODENA HS,14GD150,W#33-SAN CLEMENTE A,5,GREENWICH,6,9-12RR,14U_GIRLS_D1,202606211400
21-Jun,3:00 PM,WESTMINSTER HS,14GD144,W#K1/K4-SAN DIEGO SHORES A,6,W#K2/K3-STANFORD A,5,5th,14U_GIRLS_D1,202606211500
21-Jun,3:00 PM,EL MODENA HS,14GD151,COMMERCE,12,L#33-ARROYO GRANDE,6,9-12RR,14U_GIRLS_D1,202606211500
21-Jun,4:00 PM,WESTMINSTER HS,14GD145,L#K1/K4-SAN DIEGO DONS,7,L#K2/K3-SANTA BARBARA,12,7th,14U_GIRLS_D1,202606211600
19-Jun,8:00 AM,ESPERANZA HS,14GD201,A1-STANFORD B,16,A3-AMERICAN RIVER,1,"A bracket A1,A3",14U_GIRLS_D2,202606190800
19-Jun,9:00 AM,ESPERANZA HS,14GD204,B1-PATRIOT B,4,B4-FOOTHILL CLUB,19,W/L B1/B4,14U_GIRLS_D2,202606190900
19-Jun,10:00 AM,ESPERANZA HS,14GD206,B2-BIG VALLEY,7,B3-SAN DIEGO SHORES B,22,W/L B2/B3,14U_GIRLS_D2,202606191000
19-Jun,11:00 AM,ESPERANZA HS,14GD207,A2-LA PREMIER/PAC,18,A3-AMERICAN RIVER,4,"A bracket A2,A3",14U_GIRLS_D2,202606191100
19-Jun,12:00 PM,ESPERANZA HS,14GD202,C1-MAVERICKS,11,C3-LA JOLLA UNITED,14,"C bracket C1,C3",14U_GIRLS_D2,202606191200
19-Jun,1:00 PM,ESPERANZA HS,14GD203,D1-ASPHALT GREEN,11,D4-ROSE BOWL,14,W/L D1/D4,14U_GIRLS_D2,202606191300
19-Jun,2:00 PM,ESPERANZA HS,14GD205,D2-NORCAL,4,D3-LOS ALAMITOS,5,W/L D2/D3,14U_GIRLS_D2,202606191400
19-Jun,3:00 PM,ESPERANZA HS,14GD208,C2-SAN CLEMENTE B,7.4,C3-LA JOLLA UNITED,7.2,"C bracket C2,C3",14U_GIRLS_D2,202606191500
19-Jun,4:00 PM,ESPERANZA HS,14GD213,A1-STANFORD B,8,A2-LA PREMIER/PAC,7,"A bracket A1,A2",14U_GIRLS_D2,202606191600
19-Jun,5:00 PM,YORBA LINDA HS,14GD209,L#D1/D4-ASPHALT GREEN,14,L#D2/D3-NORCAL,9,3rd/4thD,14U_GIRLS_D2,202606191700
19-Jun,5:00 PM,SERVITE HS,14GD210,L#B1/B4-PATRIOT B,10,L#B2/B3-BIG VALLEY,19,3rd/4thB,14U_GIRLS_D2,202606191700
19-Jun,6:00 PM,YORBA LINDA HS,14GD211,W#D1/D4-ROSE BOWL,11,W#D2/D3-LOS ALAMITOS,5,1st/2ndD,14U_GIRLS_D2,202606191800
19-Jun,6:00 PM,SERVITE HS,14GD212,W#B1/B4-FOOTHILL CLUB,9,W#B2/B3-SAN DIEGO SHORES B,13,1st/2ndB,14U_GIRLS_D2,202606191800
19-Jun,7:00 PM,YORBA LINDA HS,14GD214,C1-MAVERICKS,16,C2-SAN CLEMENTE B,13,"C bracket C1,C2",14U_GIRLS_D2,202606191900
20-Jun,8:00 AM,SONORA HS,14GD215,2ndB(L#12)-FOOTHILL CLUB,14,3rdA-AMERICAN RIVER,2,QF play-in (7v9),14U_GIRLS_D2,202606200800
20-Jun,8:00 AM,ESPERANZA HS,14GD216,2ndC-MAVERICKS,11,3rdD(W#9)-ASPHALT GREEN,10,QF play-in (6v12),14U_GIRLS_D2,202606200800
20-Jun,9:00 AM,SONORA HS,14GD217,2ndA-LA PREMIER/PAC,17,3rdB(W#10)-BIG VALLEY,13,QF play-in (8v10),14U_GIRLS_D2,202606200900
