slug,displayName,region,website,logo,rankedTeams,bestRank,avgCPI,topTeam,topTeamGroup
alameda,Alameda Neptunes,East Bay,https://alamedawaterpolo.org/?avia_forced_reroute=1,assets/logos/canonical/alameda.webp,2,39,1521.7,Alameda WPC,18U Boys
ct-premier,CT Premier,Out of State,,assets/logos/canonical/ct-premier.webp,2,39,1576.3,CT Premier,16U Boys
sd-eca,SD ECA,San Diego,,assets/logos/canonical/sd-eca.webp,4,39,1629.3,ECA,12U Boys
boa,BOA,Orange County,,assets/logos/canonical/boa.webp,2,40,1560.8,BOA,16U Boys
clovis-red,Clovis Water Polo Club,Central Valley,https://www.cloviswpc.com/,assets/logos/canonical/clovis-red.webp,3,40,1634.9,Clovis A,14U Girls
vegas-renegades,Vegas Renegades,Out of State,,assets/logos/canonical/vegas-renegades.webp,1,40,1740.4,Vegas Renegades A,14U Boys
sharks,Sharks,Peninsula / San Francisco,,assets/logos/canonical/sharks.webp,3,41,1667.4,Sharks,12U Boys
praetorian,Praetorian,Central Valley,,assets/logos/canonical/praetorian.webp,1,42,1815.6,Praetorian,14U Girls
sfv,SFV,Los Angeles,,assets/logos/canonical/sfv.webp,1,42,1360.0,SFV,18U Boys
skip,Skip,Central Valley,,assets/logos/canonical/skip.webp,1,42,1717.8,Skip A,14U Boys
big-valley,Big Valley,Central Valley,,assets/logos/canonical/big-valley.webp,2,43,1652.5,Big Valley,14U Girls
trilogy,Trilogy,San Diego,,assets/logos/canonical/trilogy.webp,4,43,1533.3,Trilogy,12U Boys
central-coast,Central Coast,Central Coast,,assets/logos/canonical/central-coast.webp,1,45,1785.3,Central Coast,14U Girls
yeti,Yeti,Los Angeles,,assets/logos/canonical/yeti.webp,1,45,1360.0,Yeti,18U Boys
gold-coast,Gold Coast,Central Coast,,assets/logos/canonical/gold-coast.webp,2,46,1648.2,Gold Coast,14U Girls
northwest,Northwest,Out of State,,assets/logos/canonical/northwest.webp,2,46,1594.2,Northwest A,14U Boys
kingsburg,Kingsburg,Central Valley,,assets/logos/canonical/kingsburg.webp,1,48,1689.5,Kingsburg A,14U Boys
elite,Elite,Los Angeles,,assets/logos/canonical/elite.webp,2,49,1607.9,Elite,14U Girls
yolo,Yolo,East Bay,,assets/logos/canonical/yolo.webp,2,49,1611.9,Yolo Black,12U Boys
lv-legends,LV Legends,Los Angeles,,assets/logos/canonical/lv-legends.webp,1,50,1608.6,LV Legends,16U Boys
farallon,Farallon,Peninsula / San Francisco,,assets/logos/canonical/farallon.webp,1,51,1613.0,Farallon,12U Boys
honolulu-water-polo,Honolulu Water Polo,Out of State,,assets/logos/canonical/honolulu-water-polo.webp,1,55,1672.5,Honolulu Water Polo,14U Girls
innis-arden,Innis Arden,Out of State,,assets/logos/canonical/innis-arden.webp,1,56,1642.5,Innis Arden,14U Girls
loyola-wpc,Loyola WPC,Los Angeles,,assets/logos/canonical/loyola-wpc.webp,2,58,1547.2,Loyola Wpc,16U Boys
titans,Titans,Los Angeles,,assets/logos/canonical/titans.webp,2,59,1526.8,Titans A,14U Boys
lowpo,LOWPO,Out of State,,assets/logos/canonical/lowpo.webp,1,60,1590.2,LOWPO,14U Girls
mid-pen,Mid Pen,Peninsula / San Francisco,,assets/logos/canonical/mid-pen.webp,1,60,1546.8,Mid Pen,16U Boys
cvu,CVU,Central Valley,,assets/logos/canonical/cvu.webp,1,62,1594.1,CVU A,14U Boys
pasadena-ac,Pasadena AC,Los Angeles,,assets/logos/canonical/pasadena-ac.webp,2,63,1551.6,PAC,12U Boys
poway-valley-black,Poway Valley Black,San Diego,,assets/logos/canonical/poway-valley-black.webp,1,63,1579.3,Poway Valley Black,14U Boys
brea-olinda,Brea Olinda,Orange County,,assets/logos/canonical/brea-olinda.webp,1,64,1512.1,Brea Olinda,16U Boys
cal-rep,Cal Rep,Sacramento,,assets/logos/canonical/cal-rep.webp,1,65,1509.4,Cal Republic,16U Boys
san-clemente-red,San Clemente Red,Orange County,,assets/logos/canonical/san-clemente-red.webp,1,70,1543.5,San Clemente Red,14U Boys
south-bay-united,South Bay United,Los Angeles,,assets/logos/canonical/south-bay-united.webp,1,70,1471.0,South Bay United,14U Girls
wcac-united,Wcac United,Out of State,,assets/logos/canonical/wcac-united.webp,1,73,1466.9,Wcac United,16U Boys
cv-premier,CV Premier,San Diego,,assets/logos/canonical/cv-premier.webp,1,74,1411.6,CV Premier,14U Girls
ccwp,CCWP,Central Coast,,assets/logos/canonical/ccwp.webp,1,77,1381.9,CCWP,14U Girls
patriot-red,Patriot Aquatics,Orange County,https://patriotaquatics.org/,assets/logos/canonical/patriot-red.webp,1,78,1525.5,Patriot Red,14U Boys
poway-valley,Poway Valley,San Diego,,assets/logos/canonical/poway-valley.webp,1,79,1493.0,Poway Valley,12U Boys
brea-olinda-gold,Brea Olinda Gold,Orange County,,assets/logos/canonical/brea-olinda-gold.webp,1,81,1506.5,Brea Olinda Gold,14U Boys
la-city-united,La City United,Los Angeles,,assets/logos/canonical/la-city-united.webp,1,81,1485.4,La City United,12U Boys
ngen,Ngen,Orange County,,assets/logos/canonical/ngen.webp,1,85,1460.9,NGen,12U Boys
nado,Nado,San Diego,,assets/logos/canonical/nado.webp,1,86,1500.1,Nado A,14U Boys
route-66-aquatics,Route 66 Aquatics,Inland Empire,,assets/logos/canonical/route-66-aquatics.webp,1,92,1479.9,Route 66 Aquatics A,14U Boys
burlingame,Burlingame,Peninsula / San Francisco,,assets/logos/canonical/burlingame.webp,1,94,1476.4,Burlingame A,14U Boys
honolulu-green,Honolulu Green,Out of State,,assets/logos/canonical/honolulu-green.webp,1,98,1472.9,Honolulu Green A,14U Boys
triton-gold,Triton Gold,East Bay,,assets/logos/canonical/triton-gold.webp,1,99,1465.1,Triton Gold,14U Boys
honolulu-blue,Honolulu Blue,Out of State,,assets/logos/canonical/honolulu-blue.webp,1,100,1464.9,Honolulu Blue,14U Boys
midpen,Midpen,Peninsula / San Francisco,,assets/logos/canonical/midpen.webp,1,102,1461.7,Midpen A,14U Boys
riverside,Riverside,Inland Empire,,assets/logos/canonical/riverside.webp,1,104,1455.7,Riverside A,14U Boys
tri-valley-tritons,Tri-Valley Tritons,East Bay,,assets/logos/canonical/tri-valley-tritons.webp,1,106,1448.7,Tri-Valley Tritons A,14U Boys
