group,rank,team,slug,club,latest_record,old_rank,new_rank,movement,quiksilver_weight,movement_cap_note,flags,review_question,manual_decision,notes
16U Boys,54,Palos Verdes B,palos-verdes-b-16u-boys,Palos Verdes,1-1,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,55,LA Jolla United White,la-jolla-united-white-16u-boys,LA Jolla United,2-2,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,56,Santa Cruz,santa-cruz-16u-boys,Santa Cruz,0-0,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,57,Rose Bowl B,rose-bowl-b-16u-boys,Rose Bowl,2-3,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,58,Loyola Wpc,loyola-wpc-16u-boys,Loyola Wpc,0-0,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,59,Shore Aquatics B,shore-aquatics-b-16u-boys,Shore Aquatics,3-2,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,60,Mid Pen,mid-pen-16u-boys,Mid Pen,1-2,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,61,Patriot Red,patriot-red-16u-boys,Patriot,0-1,,,-1,,,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,62,Hieland,hieland-16u-boys,Hieland,0-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,63,CIU Blue,ciu-blue-16u-boys,CIU,1-3,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,64,Brea Olinda,brea-olinda-16u-boys,Brea Olinda,0-3,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,65,Cal Republic,cal-republic-16u-boys,Cal Rep,1-3,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
