group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
16U Boys,Mission,mission-16u-boys,Mission,3,5,-2,2009.9,1940.6,-69.3,Quiksilver Cup,6 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Stanford A,stanford-a-16u-boys,Stanford,5,6,-1,1940.6,1934.7,-5.9,Futures Super Finals,2-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,6,7,-1,1934.7,1926.9,-7.8,Quiksilver Cup,5 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Trojan,trojan-16u-boys,Trojan,4,8,-4,1985.2,1918.8,-66.4,Quiksilver Cup,11 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,ORWP A,orwp-a-16u-boys,ORWP,7,9,-2,1926.9,1914.6,-12.3,CCA JO Quals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,LA Premier,la-premier-16u-boys,LA Premier,8,10,-2,1918.8,1884.3,-34.5,Quiksilver Cup,15 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CIU Gold,ciu-gold-16u-boys,CIU,25,15,10,1754.5,1817.5,63.0,Quiksilver Cup,1 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Carlsbad,carlsbad-16u-boys,Carlsbad,15,16,-1,1817.5,1811.4,-6.1,Futures Super Finals,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Rose Bowl,rose-bowl-16u-boys,Rose Bowl,16,17,-1,1811.4,1809.2,-2.2,Quiksilver Cup,9 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,San Clemente,san-clemente-16u-boys,San Clemente,17,18,-1,1809.2,1792.7,-16.5,Futures Super Finals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
