group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
14U Boys,7,NorCal A,NorCal,1,1,-6,6,Championship,Platinum,6,6,5-4,Norcal Black
14U Boys,8,LA Premier,LA Premier,1,5,-3,8,Championship,Platinum,8,8,5-3,La Premier Black
14U Boys,9,Lamorinda A,Lamorinda,1,15,6,9,Championship,Platinum,9,9,5-3,Lamorinda A
14U Boys,10,Commerce,Commerce,1,12,2,10,Championship,Platinum,10,10,4-3,Commerce
14U Boys,11,Greenwich A,Greenwich,1,,0,11,Championship,Platinum,11,11,4-4,Greenwich Blue
14U Boys,12,908,908,1,9,-3,12,Championship,Platinum,12,12,3-4,908 Yellow A
14U Boys,13,San Diego Shores A,San Diego Shores,1,11,-2,13,Championship,Platinum,13,13,6-2,SD Shores Black
14U Boys,14,Diablo Alliance A,Diablo Alliance,1,23,9,14,Championship,Platinum,14,14,6-3,Diablo Alliance A
14U Boys,15,CC United A,CC United,1,19,4,15,Championship,Platinum,15,15,5-3,CC United Black
14U Boys,16,Stanford A,Stanford,1,13,-3,17,Championship,Platinum,17,17,6-3,Stanford Red
14U Boys,17,PV WPC,PV WPC,1,57,40,16,Championship,Platinum,16,16,5-4,Palos Verdes Black
14U Boys,18,Vanguard A,Vanguard,1,14,-4,18,Championship,Platinum,18,18,5-4,Vanguard Blue
14U Boys,19,CDM,CDM,1,21,2,19,Championship,Platinum,19,19,4-4,CDM Blue
14U Boys,20,South Coast,South Coast,1,16,-4,21,Championship,Platinum,21,21,5-3,South Coast Red
14U Boys,21,680 A,680,1,30,9,20,Championship,Platinum,20,20,3-5,680 Red
14U Boys,22,San Clemente,San Clemente,1,24,2,22,Championship,Platinum,22,22,4-4,San Clemente Red
14U Boys,23,Davis,Davis,1,31,8,23,Championship,Platinum,23,23,3-5,Davis
14U Boys,24,SHAQ,SHAQ,1,75,51,24,Championship,Platinum,24,24,2-6,SHAQ
14U Boys,25,Santa Barbara,Santa Barbara,1,36,11,25,Championship,Gold,25,1,6-3,Santa Barbara Wpc A
14U Boys,26,Devils Gate,Devils Gate,1,29,3,26,Championship,Gold,26,2,5-3,Devils Gate
14U Boys,27,North Irvine,North Irvine,1,20,-7,27,Championship,Gold,27,3,5-3,North Irvine Black
14U Boys,28,Pegasus,Pegasus,1,37,9,29,Championship,Gold,29,5,5-4,Pegasus
14U Boys,29,SD Dons B,SD Dons,2,65,36,28,Championship,Gold,28,4,4-5,SD Dons 13a Gold
14U Boys,30,CC United B,CC United,2,35,5,30,Championship,Gold,30,6,4-5,CC United Blue
14U Boys,31,Northwest,Northwest,1,46,15,31,Championship,Gold,31,7,4-4,Northwest
14U Boys,32,Clovis A,Clovis,1,,0,32,Championship,Gold,32,8,3-5,Clovis
14U Boys,33,Longhorn,Longhorn,1,,0,33,Championship,Gold,33,9,5-3,Longhorn
14U Boys,34,Greenwich B,Greenwich,2,,0,34,Championship,Gold,34,10,3-6,Greenwich White
14U Boys,35,American River,American River,1,52,17,35,Championship,Gold,35,11,4-4,American River A
14U Boys,36,Puget Sound,Puget Sound,1,,0,36,Championship,Gold,36,12,2-7,Puget Sound
14U Boys,37,Thunder,Thunder,1,,0,37,Championship,Gold,37,13,4-5,Texas Thunder
14U Boys,38,Honolulu Water Polo A,Honolulu Water Polo,1,98,60,38,Championship,Gold,38,14,3-4,Honolulu A
14U Boys,39,Colorado,Colorado,1,,0,39,Championship,Gold,39,15,3-4,Colorado
14U Boys,40,Topaz Tsunami,Topaz Tsunami,1,,0,40,Championship,Gold,40,16,2-5,Topaz Tsunami
14U Boys,41,Barcelona Lions,Barcelona Lions,1,,0,41,Championship,Gold,41,17,4-4,Barcelona Lions
14U Boys,42,Kearns,Kearns,1,,0,42,Championship,Gold,42,18,3-5,Kearns
14U Boys,43,Princeton,Princeton,1,,0,43,Championship,Gold,43,19,2-5,Princeton
14U Boys,44,NIPC,NIPC,1,,0,44,Championship,Gold,44,20,1-8,Nipc
14U Boys,45,Central Coast,Central Coast,1,,0,45,Championship,Gold,45,21,3-4,Central Coast
14U Boys,46,Punahou,Punahou,1,,0,46,Championship,Gold,46,22,2-5,Punahou
14U Boys,47,LOWPO,LOWPO,1,,0,47,Championship,Gold,47,23,1-6,Lowpo
14U Boys,48,Lyons Aquatics,Lyons Aquatics,1,,0,48,Championship,Gold,48,24,0-7,Lyons Aquatics
14U Boys,49,Rancho Tsunami,Rancho Tsunami,1,18,-31,49,Classic,Silver,1,1,7-0,Tsunami
14U Boys,50,Mission B,Mission,2,22,-28,51,Classic,Silver,3,3,6-2,Mission B
14U Boys,51,OCWPC,OCWPC,1,71,20,50,Classic,Silver,2,2,6-1,OCWPC Blue
14U Boys,52,Route 66,Route 66,1,92,40,52,Classic,Silver,4,4,6-3,Route 66
14U Boys,53,ORWP A,ORWP,1,87,34,53,Classic,Silver,5,5,8-2,ORWP Black
14U Boys,54,SD Dons C,SD Dons,3,,0,54,Classic,Silver,6,6,3-4,SD Dons Black
14U Boys,55,Long Beach Shore,Long Beach Shore,1,17,-38,55,Classic,Silver,7,7,5-2,LB Shore Red
14U Boys,56,Patriot B,Patriot,2,28,-28,56,Classic,Silver,8,8,6-3,Patriot Red
14U Boys,57,Kingsburg,Kingsburg,1,48,-9,58,Classic,Silver,10,10,4-3,Kingsburg
14U Boys,58,Sharks,Sharks,1,67,9,57,Classic,Silver,9,9,5-2,Sharks
14U Boys,59,Pride,Pride,1,26,-33,59,Classic,Silver,11,11,6-3,Pride Black
14U Boys,60,Temple City,Temple City,1,25,-35,61,Classic,Silver,13,13,6-2,Temple City
14U Boys,61,La Jolla United B,La Jolla United,2,41,-20,60,Classic,Silver,12,12,3-5,La Jolla United B
14U Boys,62,Stanford B,Stanford,2,44,-18,63,Classic,Silver,15,15,4-4,Stanford Black
14U Boys,63,SD ECA,SD ECA,1,82,19,62,Classic,Silver,14,14,5-3,ECA
14U Boys,64,SKIP,SKIP,1,42,-22,64,Classic,Silver,16,16,5-4,Kern Premier
14U Boys,65,Alameda,Alameda,1,49,-16,65,Classic,Silver,17,17,4-4,Alameda
14U Boys,66,Rose Bowl,Rose Bowl,1,45,-21,67,Classic,Silver,19,19,4-4,Rose Bowl Red
14U Boys,67,CT Premier,CT Premier,1,88,21,66,Classic,Silver,18,18,4-4,Ct Premier
14U Boys,68,Lamorinda B,Lamorinda,2,55,-13,68,Classic,Silver,20,20,3-5,Lamorinda B
14U Boys,69,Vanguard B,Vanguard,2,43,-26,69,Classic,Silver,21,21,4-4,Vanguard Silver
14U Boys,70,Foothill,Foothill,1,39,-31,71,Classic,Silver,23,23,4-4,Foothill Red
14U Boys,71,Titans,Titans,1,59,-12,70,Classic,Silver,22,22,4-4,Titans Gold
14U Boys,72,Hieland,Hieland,1,74,2,72,Classic,Silver,24,24,2-6,Hieland
14U Boys,73,Newport Beach B,Newport Beach,2,34,-39,73,Classic,Bronze,25,1,8-2,Newport Beach White
14U Boys,74,Vegas Renegades,Vegas Renegades,1,40,-34,74,Classic,Bronze,26,2,5-4,Vegas Renegades
14U Boys,75,Trojan,Trojan,1,47,-28,75,Classic,Bronze,27,3,5-3,Trojan Cardinal
14U Boys,76,Team Vegas,Team Vegas,1,,0,76,Classic,Bronze,28,4,4-4,Team Vegas Red
14U Boys,77,Praetorian,Praetorian,1,,0,77,Classic,Bronze,29,5,4-4,Praetorian
14U Boys,78,CVU,CVU,1,62,-16,78,Classic,Bronze,30,6,4-5,Central Valley United
14U Boys,79,680 B,680,2,50,-29,79,Classic,Bronze,31,7,4-5,680 Blue
14U Boys,80,San Jose Express,San Jose Express,1,51,-29,80,Classic,Bronze,32,8,3-5,San Jose Express Blue
