group,rank,current_team,current_slug,current_club,current_club_slug,issue_types,same_group_possible_duplicate_matches,same_club_other_teams_in_group,recommended_action,decision,canonical_team_name,canonical_team_slug,canonical_club,canonical_club_slug,merge_into_existing_slug,keep_separate,notes
16U Boys,67,CHAWP,chawp-16u-boys,CHAWP,chawp,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CHAWP B #44 (chawp-b-16u-boys),CHAWP B #44 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,68,San Jose Express B,san-jose-express-b-16u-boys,San Jose Express,sj-express,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,San Jose Express #72 (san-jose-express-16u-boys),San Jose Express #72 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,72,San Jose Express,san-jose-express-16u-boys,San Jose Express,sj-express,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,San Jose Express B #68 (san-jose-express-b-16u-boys),San Jose Express B #68 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,76,Vanguard White,vanguard-white-16u-boys,Vanguard,vanguard,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Vanguard #3 (vanguard-16u-boys); Vanguard Blue #25 (vanguard-blue-16u-boys); Vanguard Silver #53 (vanguard-silver-16u-boys),Vanguard #3 depth=1; Vanguard Blue #25 depth=2; Vanguard Silver #53 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,77,South Coast C,south-coast-c-16u-boys,South Coast,south-coast,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,South Coast #13 (south-coast-16u-boys); South Coast B #51 (south-coast-b-16u-boys),South Coast #13 depth=1; South Coast B #51 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,78,LA Jolla United Silver,la-jolla-united-silver-16u-boys,LA Jolla United,la-jolla-united,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,La Jolla United #20 (la-jolla-united-16u-boys); La Jolla United Gold #46 (la-jolla-united-gold-16u-boys); LA Jolla United White #55 (la-jolla-united-white-16u-boys),La Jolla United #20 depth=1; La Jolla United Gold #46 depth=2; LA Jolla United White #55 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,79,Trojan C,trojan-c-16u-boys,Trojan,trojan,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Trojan #8 (trojan-16u-boys); Trojan B #26 (trojan-b-16u-boys),Trojan #8 depth=1; Trojan B #26 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,82,San Diego Shores Gold,san-diego-shores-gold-16u-boys,San Diego Shores,san-diego-shores,possible_duplicate_team_name|provisional_or_identity_review|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,San Diego Shores #4 (san-diego-shores-16u-boys),San Diego Shores #4 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
16U Girls,1,SBWPC A,sbwpc-a-16u-girls,SBWPC,sbwpc,possible_duplicate_team_name|same_club_multiple_teams_in_group,SBWPC B #25 (sbwpc-b-16u-girls),SBWPC B #25 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
16U Girls,3,South Coast,south-coast-16u-girls,South Coast,south-coast,possible_duplicate_team_name|same_club_multiple_teams_in_group,South Coast B #35 (south-coast-b-16u-girls),South Coast B #35 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
16U Girls,16,Lamorinda A,lamorinda-a-16u-girls,Lamorinda,lamorinda,possible_duplicate_team_name|same_club_multiple_teams_in_group,Lamorinda B #36 (lamorinda-b-16u-girls),Lamorinda B #36 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
16U Girls,25,SBWPC B,sbwpc-b-16u-girls,SBWPC,sbwpc,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,SBWPC A #1 (sbwpc-a-16u-girls),SBWPC A #1 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,35,South Coast B,south-coast-b-16u-girls,South Coast,south-coast,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,South Coast #3 (south-coast-16u-girls),South Coast #3 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,36,Lamorinda B,lamorinda-b-16u-girls,Lamorinda,lamorinda,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Lamorinda A #16 (lamorinda-a-16u-girls),Lamorinda A #16 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,4,Imperial,imperial-18u-boys,Imperial,imperial,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Imperial B #16 (imperial-b-18u-boys),Imperial B #16 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,8,Trojan,trojan-18u-boys,Trojan,trojan,possible_duplicate_team_name|same_club_multiple_teams_in_group,Trojan B #31 (trojan-b-18u-boys),Trojan B #31 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
18U Boys,15,Sand Canyon Black,sand-canyon-black-18u-boys,Sand Canyon,sand-canyon,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Sand Canyon Red #22 (sand-canyon-red-18u-boys); Sand Canyon #30 (sand-canyon-18u-boys),Sand Canyon Red #22 depth=1; Sand Canyon #30 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,16,Imperial B,imperial-b-18u-boys,Imperial,imperial,possible_duplicate_team_name|same_club_multiple_teams_in_group,Imperial #4 (imperial-18u-boys),Imperial #4 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
18U Boys,17,Vanguard Blue,vanguard-blue-18u-boys,Vanguard,vanguard,possible_duplicate_team_name|same_club_multiple_teams_in_group,Vanguard Silver #41 (vanguard-silver-18u-boys),Vanguard Silver #41 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
18U Boys,22,Sand Canyon Red,sand-canyon-red-18u-boys,Sand Canyon,sand-canyon,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Sand Canyon Black #15 (sand-canyon-black-18u-boys); Sand Canyon #30 (sand-canyon-18u-boys),Sand Canyon Black #15 depth=2; Sand Canyon #30 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,26,CHAWP B,chawp-b-18u-boys,CHAWP,chawp,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CHAWP #43 (chawp-18u-boys),CHAWP #43 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,30,Sand Canyon,sand-canyon-18u-boys,Sand Canyon,sand-canyon,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Sand Canyon Black #15 (sand-canyon-black-18u-boys); Sand Canyon Red #22 (sand-canyon-red-18u-boys),Sand Canyon Black #15 depth=2; Sand Canyon Red #22 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,31,Trojan B,trojan-b-18u-boys,Trojan,trojan,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Trojan #8 (trojan-18u-boys),Trojan #8 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,41,Vanguard Silver,vanguard-silver-18u-boys,Vanguard,vanguard,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Vanguard Blue #17 (vanguard-blue-18u-boys),Vanguard Blue #17 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,43,CHAWP,chawp-18u-boys,CHAWP,chawp,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CHAWP B #26 (chawp-b-18u-boys),CHAWP B #26 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,2,SBWPC A,sbwpc-a-18u-girls,SBWPC,sbwpc,possible_duplicate_team_name|same_club_multiple_teams_in_group,SBWPC B #17 (sbwpc-b-18u-girls); SBWPC C #32 (sbwpc-c-18u-girls),SBWPC B #17 depth=2; SBWPC C #32 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
18U Girls,4,SoCal,socal-18u-girls,SoCal,socal,possible_duplicate_team_name|same_club_multiple_teams_in_group,SoCal Gold #23 (socal-gold-18u-girls),SoCal Gold #23 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
18U Girls,9,LB Viking Blue,lb-viking-blue-18u-girls,Viking,viking,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,LB Viking White #30 (lb-viking-white-18u-girls),LB Viking White #30 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,17,SBWPC B,sbwpc-b-18u-girls,SBWPC,sbwpc,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,SBWPC A #2 (sbwpc-a-18u-girls); SBWPC C #32 (sbwpc-c-18u-girls),SBWPC A #2 depth=1; SBWPC C #32 depth=3,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,20,CHAWP B,chawp-b-18u-girls,CHAWP,chawp,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CHAWP #31 (chawp-18u-girls),CHAWP #31 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,23,SoCal Gold,socal-gold-18u-girls,SoCal,socal,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,SoCal #4 (socal-18u-girls),SoCal #4 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,30,LB Viking White,lb-viking-white-18u-girls,Viking,viking,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,LB Viking Blue #9 (lb-viking-blue-18u-girls),LB Viking Blue #9 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,31,CHAWP,chawp-18u-girls,CHAWP,chawp,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,CHAWP B #20 (chawp-b-18u-girls),CHAWP B #20 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,32,SBWPC C,sbwpc-c-18u-girls,SBWPC,sbwpc,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,SBWPC A #2 (sbwpc-a-18u-girls); SBWPC B #17 (sbwpc-b-18u-girls),SBWPC A #2 depth=1; SBWPC B #17 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,69,Los Alamitos Garnet,los-alamitos-garnet-14u-girls,Los Alamitos,los-alamitos,lower_depth_above_primary_same_club|manual_review_note_present|same_club_multiple_teams_in_group,,Los Alamitos #71 depth=1,Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team.,,,,,,,,
12U Boys,17,Los Alamitos,los-alamitos,Los Alamitos,los-alamitos,quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,,Los Alamitos Opal #66 depth=1,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,24,Trojan Cardinal,trojan-cardinal,Trojan,trojan,same_club_depth_collision|same_club_multiple_teams_in_group,,Trojan #68 depth=1,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,27,Newport Beach A,newport-beach-a-12u-boys,Newport Beach,newport-beach,same_club_depth_collision|same_club_multiple_teams_in_group,,Newport White #40 depth=1,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,40,Newport White,newport-white,Newport Beach,newport-beach,same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,,Newport Beach A #27 depth=1,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,66,Los Alamitos Opal,los-alamitos-opal,Los Alamitos,los-alamitos,same_club_depth_collision|same_club_multiple_teams_in_group,,Los Alamitos #17 depth=1,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,68,Trojan,trojan,Trojan,trojan,same_club_depth_collision|same_club_multiple_teams_in_group,,Trojan Cardinal #24 depth=1,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
16U Boys,80,Long Beach Shore,long-beach-shore-16u-boys,Long Beach Shore,long-beach-shore,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
16U Boys,81,NSD Stars,nsd-stars-16u-boys,NSD Stars,nsd-stars,official_logo_needed|provisional_or_identity_review|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
16U Girls,18,LB Viking,lb-viking-16u-girls,Viking,viking,manual_review_note_present|provisional_or_identity_review|quiksilver_evidence_review|same_club_multiple_teams_in_group,,Viking White #31 depth=3,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
16U Girls,20,OVAC,ovac-16u-girls,OVAC,ovac,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
16U Girls,28,Mid Valley,mid-valley-16u-girls,Mid Valley,mid-valley,official_logo_needed|provisional_or_identity_review|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,23,Greenwich,greenwich-18u-boys,Greenwich,greenwich,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,28,CIU,ciu-18u-boys,CIU,ciu,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,32,Long Beach Shore,long-beach-shore-18u-boys,Long Beach Shore,long-beach-shore,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,35,Olympus,olympus-18u-boys,Olympus,olympus,missing_logo_file|provisional_or_identity_review|quiksilver_evidence_review,,,Fix logo path or add canonical logo file. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,38,Foothill,foothill-18u-boys,Foothill,foothill,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Boys,39,Alameda WPC,alameda-wpc-18u-boys,Alameda,alameda,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Girls,15,680,680-18u-girls,680,680,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Girls,16,San Diego Shores,san-diego-shores-18u-girls,San Diego Shores,san-diego-shores,provisional_or_identity_review|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
18U Girls,22,Mid Valley,mid-valley-18u-girls,Mid Valley,mid-valley,official_logo_needed|provisional_or_identity_review|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,,,
12U Boys,11,Tsunami,tsunami-12u-boys,Rancho Tsunami,rancho-tsunami,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,12,Rose Bowl,rose-bowl-12u-boys,Rose Bowl,rose-bowl,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,13,SoCal,socal-12u-boys,SOCAL,socal,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,15,Patriot Navy,patriot-navy,Patriot,patriot,manual_review_note_present,,,,,,,,,,,
12U Boys,19,San Diego Shores,san-diego-shores,San Diego Shores,sd-shores,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,25,LA Premier,la-premier,LA Premier,la-premier,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,26,Back Bay,back-bay,Back Bay,back-bay,manual_review_note_present,,,,,,,,,,,
12U Boys,29,OCWPC Blue,ocwpc-blue,OCWPC,ocwpc,manual_review_note_present,,,,,,,,,,,
12U Boys,30,San Mateo,san-mateo,San Mateo,san-mateo,manual_review_note_present|official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,36,908,908-12u-boys,908,908,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,60,NorCal,norcal,NorCal,norcal,manual_review_note_present,,,,,,,,,,,
14U Girls,9,SD Dons,sd-dons-14u-girls,San Diego Dons,sd-dons,manual_review_note_present,,,,,,,,,,,
14U Girls,10,Santa Cruz,santa-cruz-14u-girls,Santa Cruz,santa-cruz,manual_review_note_present,,,,,,,,,,,
14U Girls,26,Viking,viking-14u-girls,Viking,viking,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,27,PV Black,pv-black-14u-girls,PV,pv-wpc,manual_review_note_present|quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,33,San Jose Express,san-jose-express-14u-girls,San Jose Express,san-jose-express,manual_review_note_present,,,,,,,,,,,
14U Girls,51,North Irvine,north-irvine-14u-girls,North Irvine,north-irvine,manual_review_note_present,,,,,,,,,,,
14U Girls,74,CV Premier,cv-premier-14u-girls,CV Premier,cv-premier,manual_review_note_present|official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,5,Vanguard,vanguard,Vanguard,vanguard,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,8,San Jose Express Blue,san-jose-express-blue,SJ Express,sj-express,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,14,Temple City,temple-city,Temple City,temple-city,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,20,Lamorinda A,lamorinda-a-12u-boys,Lamorinda,lamorinda,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,23,NSD Stars,nsd-stars,Nsd Stars,nsd-stars,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,5,LA Premier A,la-premier-a,LA Premier,la-premier,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,6,CIU A,ciu-a,CIU,ciu,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,8,OVAC A,ovac-a,OVAC,ovac,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,9,908,908,908,908,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,11,San Diego Shores A,san-diego-shores-a,San Diego Shores,san-diego-shores,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,12,Commerce A,commerce-a,Commerce,commerce,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,17,Shore Aquatics A,shore-aquatics-a,Shore Aquatics,shore-aquatics,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,18,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami,rancho-tsunami,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,21,CDM A,cdm-a,CDM,cdm,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Boys,92,Route 66 Aquatics A,route-66-aquatics-a,Route 66 Aquatics,route-66-aquatics,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,3,908,908-14u-girls,908,908,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,18,Arroyo Grande,arroyo-grande-14u-girls,Arroyo Grande,arroyo-grande,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,19,Davis,davis-14u-girls,Davis,davis,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,22,Rose Bowl,rose-bowl-14u-girls,Rose Bowl,rose-bowl,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
14U Girls,25,Long Beach Shore,long-beach-shore-14u-girls,Long Beach Shore,long-beach-shore,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,2,Imperial,imperial-16u-boys,Imperial,imperial,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,5,Mission,mission-16u-boys,Mission,mission,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,7,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,berkeley-wpc,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,9,ORWP A,orwp-a-16u-boys,ORWP,orwp,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,10,LA Premier,la-premier-16u-boys,LA Premier,la-premier,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,16,Carlsbad,carlsbad-16u-boys,Carlsbad,carlsbad,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,18,San Clemente,san-clemente-16u-boys,San Clemente,san-clemente,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,19,Greenwich,greenwich-16u-boys,Greenwich,greenwich,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,21,OCWPC Blue,ocwpc-blue-16u-boys,OCWPC,ocwpc,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,22,Aetos,aetos-16u-boys,Aetos,aetos,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,23,Thunder,thunder-16u-boys,Thunder,thunder,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
