Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
1-SAN JOSE EXPRESS BLUE,2-LB SHORE,3-SANTA CRUZ,4-SOUTH COAST RED,5-COMMERCE,6-CHAWP WHITE,,,,,,
24-LA JOLLA UNITED B,23-WEST VALLEY,22-CLOVIS RED,21-RAIN CITY,20-CARLSBAD,19-SAN JOSE FOUNDATION,,,,,,
25-AMERICAN RIVER GOLD,26-VANGUARD SILVER,27-ALAMEDA,28-CHULA VISTA PREMIER,29-ALBUQUERQUE,30-CHARGERS BLACK,,,,,,
48-ELMHURST,47-NORCO,46-LV LEGENDS,45-MOOSE,44-SHAQ WHITE,43-CINCINNATI MARLINS,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
7-HIELAND,8-ORWP,9-KINGSBURG,10-SD SHORES GOLD,11-SET,12-CENTRAL VALLEY UNITED,,,,,,
18-ROSE BOWL RED,17-SUPREME,16-NAVY,15-OHANA,14-SAND CANYON RED,13-TSUNAMI,,,,,,
31-THIRD COAST,32-MID PEN,33-ASPHALT GREEN,34-CLOVIS B,35-VIPER PIGEON,36-AQUATEX,,,,,,
42-CC UNITED BLUE,41-WCAC UNITED B,40-NEWBERG,39-TOPAZ TSUNAMI,38-FARALLON,37-MESA,,,,,,
,,,,,,,,,,,18BX
,,,SUNNY HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:50 AM,Group,TROY HS,66,ag_P2,,ag_P3,,,,18BX-066
7/24/2026,8:40 AM,Group,TROY HS,70,ag_U1,,ag_U2,,,,18BX-070
7/24/2026,9:30 AM,Group,TROY HS,74,ag_T1,,ag_T2,,,,18BX-074
7/24/2026,10:20 AM,Group,TROY HS,78,ag_O1,,ag_O3,,,,18BX-078
7/24/2026,11:10 AM,Group,TROY HS,82,ag_P1,,ag_P3,,,,18BX-082
7/24/2026,12:00 PM,Group,TROY HS,86,ag_U1,,ag_U3,,,,18BX-086
7/24/2026,12:50 PM,Group,TROY HS,90,ag_T1,,ag_T3,,,,18BX-090
7/24/2026,1:40 PM,Group,TROY HS,94,ag_O1,,ag_O2,,,,18BX-094
7/24/2026,2:30 PM,Group,TROY HS,98,ag_P1,,ag_P2,,,,18BX-098
7/24/2026,3:20 PM,Group,TROY HS,102,ag_U2,,ag_U3,,,,18BX-102
7/24/2026,4:10 PM,Group,TROY HS,106,ag_T2,,ag_T3,,,,18BX-106
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,TROY HS,110,3rd ag_O-,,1st ag_U-,,117,138,18BX-110
7/24/2026,7:30 PM,Play-in,TROY HS,114,3rd ag_P-,,1st ag_T-,,125,130,18BX-114
,,,,,,,,,,,
,,,VALLEY HS (SA),,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,VALLEY HS (SA),63,bz_S1,,bz_S2,,,,18BX-063
7/24/2026,7:50 AM,Group,VALLEY HS (SA),67,bz_R1,,bz_R2,,,,18BX-067
7/24/2026,8:40 AM,Group,VALLEY HS (SA),71,bz_M2,,bz_M3,,,,18BX-071
7/24/2026,9:30 AM,Group,VALLEY HS (SA),75,bz_N2,,bz_N3,,,,18BX-075
7/24/2026,10:20 AM,Group,VALLEY HS (SA),79,bz_S1,,bz_S3,,,,18BX-079
7/24/2026,11:10 AM,Group,VALLEY HS (SA),83,bz_R1,,bz_R3,,,,18BX-083
7/24/2026,12:00 PM,Group,VALLEY HS (SA),87,bz_M1,,bz_M3,,,,18BX-087
7/24/2026,12:50 PM,Group,VALLEY HS (SA),91,bz_N1,,bz_N3,,,,18BX-091
7/24/2026,1:40 PM,Group,VALLEY HS (SA),95,bz_S2,,bz_S3,,,,18BX-095
7/24/2026,2:30 PM,Group,VALLEY HS (SA),99,bz_R2,,bz_R3,,,,18BX-099
7/24/2026,3:20 PM,Group,VALLEY HS (SA),103,bz_M1,,bz_M2,,,,18BX-103
7/24/2026,4:10 PM,Group,VALLEY HS (SA),107,bz_N1,,bz_N2,,,,18BX-107
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,VALLEY HS (SA),111,3rd bz_M-,,1st bz_S-,,131,136,18BX-111
7/24/2026,7:30 PM,Play-in,VALLEY HS (SA),115,3rd bz_N-,,1st bz_R-,,123,128,18BX-115
,,,,,,,,,,,
,,,ANAHEIM HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,7:00 AM,Group,ANAHEIM HS,64,bz_U1,,bz_U2,,,,18BX-064
7/24/2026,7:50 AM,Group,ANAHEIM HS,68,bz_T1,,bz_T2,,,,18BX-068
7/24/2026,8:40 AM,Group,ANAHEIM HS,72,bz_O2,,bz_O3,,,,18BX-072
