Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
21-Jul,8:00 AM,21-24 RR,UC IRVINE 2,166,3rd pt_R-,,3rd pt_S-,,,,14G-166
21-Jul,9:00 AM,semi,UC IRVINE 2,174,W133,,W161,,192,191,14G-174
21-Jul,10:00 AM,13th,UC IRVINE 2,178,W150,,W158,,13th,14th,14G-178
21-Jul,11:00 AM,15th,UC IRVINE 2,177,L150,,L158,,15th,16th,14G-177
21-Jul,12:00 PM,17th,UC IRVINE 2,170,W154,,W162,,17th,18th,14G-170
21-Jul,1:00 PM,19th,UC IRVINE 2,169,L154,,L162,,19th,20th,14G-169
21-Jul,7:00 AM,21-24 RR,GARDEN GROVE HS,167,3rd au_T-,,3rd au_U-,,,,14G-167
21-Jul,8:00 AM,21-24 RR,GARDEN GROVE HS,168,3rd au_R-,,3rd au_S-,,,,14G-168
21-Jul,9:00 AM,9th,GARDEN GROVE HS,183,W151,,W155,,9th,10th,14G-183
21-Jul,10:00 AM,11th,GARDEN GROVE HS,184,L151,,L155,,11th,12th,14G-184
21-Jul,11:00 AM,13th,GARDEN GROVE HS,179,W152,,W160,,13th,14th,14G-179
21-Jul,12:00 PM,15th,GARDEN GROVE HS,180,L152,,L160,,15th,16th,14G-180
21-Jul,1:00 PM,17th,GARDEN GROVE HS,175,W156,,W164,,17th,18th,14G-175
21-Jul,7:00 AM,7th,UC IRVINE 1,185,L141,,L145,,7th,8th,14G-185
21-Jul,8:00 AM,5th,UC IRVINE 1,186,L157,,L161,,5th,6th,14G-186
21-Jul,9:00 AM,semi,UC IRVINE 1,173,W137,,W157,,192,191,14G-173
21-Jul,10:00 AM,9th,UC IRVINE 1,182,W149,,W153,,9th,10th,14G-182
21-Jul,11:00 AM,11th,UC IRVINE 1,181,L149,,L153,,11th,12th,14G-181
21-Jul,7:00 AM,semi,LONG BEACH CC 2,171,W139,,W159,,190,189,14G-171
21-Jul,8:00 AM,semi,LONG BEACH CC 2,172,W135,,W163,,190,189,14G-172
21-Jul,9:00 AM,5th,LONG BEACH CC 2,187,L159,,L163,,5th,6th,14G-187
21-Jul,10:00 AM,7th,LONG BEACH CC 2,188,L143,,L147,,7th,8th,14G-188
21-Jul,11:00 AM,3rd,LONG BEACH CC 2,189,L171,,L172,,3rd,4th,14G-189
21-Jul,12:00 PM,1st,LONG BEACH CC 2,190,W171,,W172,,1st,2nd,14G-190
21-Jul,1:00 PM,19th,LONG BEACH CC 2,176,L156,,L164,,19th,20th,14G-176
21-Jul,2:30 PM,3rd,WOOLLETT LEFT,191,L173,,L174,,3rd,4th,14G-191
21-Jul,2:30 PM,1st,WOOLLETT RIGHT,192,W173,,W174,,1st,2nd,14G-192
