Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
2-Aug,11:00 AM,1st,CARROL ISD 1,182,1st au_V,,1st au_W,,au_1st,au_2nd,18G-182,,au_1st
2-Aug,12:00 PM,9th,CARROL ISD 1,177,W153,,W157,,pt_9th,pt_10th,18G-177,,pt_9th
2-Aug,1:00 PM,5th,CARROL ISD 1,192,3rd au_V,,3rd au_W,,au_5th,au_6th,18G-192,,au_5th
2-Aug,2:00 PM,11th,CARROL ISD 1,181,L153,,L157,,pt_11th,pt_12th,18G-181,,pt_11th
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,8:30 AM,semi,GARLAND ISD 1,174,W137,,W165,,186,185,18G-174,,pt_semi
,,,,,,,,,,,,,
2-Aug,2:30 PM,3rd,GARLAND ISD 2,185,L173,,L174,,pt_3rd,pt_4th,18G-185,,pt_3rd
,,,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,8:30 AM,semi,GARLAND ISD 2,173,W141,,W161,,186,185,18G-173,,pt_semi
,,,,,,,,,,,,,
2-Aug,2:30 PM,1st,GARLAND ISD 1,186,W173,,W174,,pt_1st,pt_2nd,18G-186,,pt_1st
,,,,,,,,,,,,,
,,,,,,,,,,,,,
pt_Place,,au_Place,,,,,,,,,,,
1st,W186,1st,W182,,,,,,,,,,
2nd,L186,2nd,L182,,,,,,,,,,
3rd,W185,3rd,W191,,,,,,,,,,
4th,L185,4th,L191,,,,,,,,,,
5th,W193,5th,W192,,,,,,,,,,
6th,L193,6th,L192,,,,,,,,,,
7th,W178,,,,,,,,,,,,
8th,L178,,,,,,,,,,,,
9th,W177,,,,,,,,,,,,
10th,L177,,,,,,,,,,,,
11th,W181,,,,,,,,,,,,
12th,L181,,,,,,,,,,,,
