Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
2-Aug,10:30 AM,5th,LEWISVILLE ISD WESTSIDE 2,87,L74,,L76,,pt_5th,pt_6th,16B-087,,,pt_5th
2-Aug,11:30 AM,7th,LEWISVILLE ISD WESTSIDE 2,88,L64,,L68,,pt_7th,pt_8th,16B-088,,,pt_7th
2-Aug,12:30 PM,9th,LEWISVILLE ISD WESTSIDE 2,83,W70,,W72,,pt_9th,pt_10th,16B-083,,,pt_9th
2-Aug,1:30 PM,11-13 RR,LEWISVILLE ISD WESTSIDE 2,84,pt_R1(L70),,pt_R2(L72),,,,16B-084,,,pt_11-13 RR
,,,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,semi,GARLAND ISD 2,78,W62,,W76,,90,89,16B-078,,,pt_semi
,,,,,,,,,,,,,,
2-Aug,1:30 PM,3rd,GARLAND ISD 2,89,L77,,L78,,pt_3rd,pt_4th,16B-089,,,pt_3rd
,,,,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
2-Aug,7:30 AM,semi,GARLAND ISD 1,77,W74,,W66,,90,89,16B-077,,,pt_semi
,,,,,,,,,,,,,,
2-Aug,1:30 PM,1st,GARLAND ISD 1,90,W77,,W78,,pt_1st,pt_2nd,16B-090,,,pt_1st
,,,,,,,,,,,,,,
pt_Place,,au_Place,,,,,,,,,,,,
1st,W90,1st,W92,,,,,,,,,,,
2nd,L90,2nd,L92,,,,,,,,,,,
3rd,W89,3rd,W91,,,,,,,,,,,
4th,L89,4th,L91,,,,,,,,,,,
5th,W87,5th,W86,,,,,,,,,,,
6th,L87,6th,L86,,,,,,,,,,,
7th,W88,7th,W85,,,,,,,,,,,
8th,L88,8th,L85,,,,,,,,,,,
9th,W83,9th,W82,,,,,,,,,,,
10th,L83,10th,L82,,,,,,,,,,,
11th,,11th,W81,,,,,,,,,,,
12th,,12th,L81,,,,,,,,,,,
13th,,,,,,,,,,,,,,
