Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
"Thu, July 30",Seeds,,6-6-7-7,,,,,,,,,,
23 teams,,,,,,,,,,,,,
A rr,B 1/4 2/3,C 1/4 2/3,,,KAHUNA EVENTS,,,,,,,,
A1-SEA MONSTERS PREMIER,B1-NEW HAVEN HYDRAS,C1-TEAM ORLANDO,,,BRACKET BREAKER PROGRAM,,,,,,,,
A2-ALAMO,B2-KRAKEN SATX,C2-KRAKEN,,,CLICK HERE,,,,,,,,
A3-BCWP,B3-DAISY,C3-GATEWAY,,,,,,,,,,,
,B4-ZENITH ALL STARS,C4-VIPER PIGEON BLACK,,,,,,,,,,,
,,,,,,,,,,,,,
D 1/4 2/3,E 1/4 2/3,F 1/4 2/3,,,,,,,,,,,
D1-GLADIATORS,E1-ORLANDO THUNDER,F1-CWPC,,,,,,,,,,,
D2-SOUTHSIDE,E2-STORM HURRICANES,F2-HOUSTON HYDRA,,,,,,,,,,,
D3-VIPER PIGEON BLUE,E3-KRAKEN CVU,F3-ZOO,,,,,,,,,,,
D4-BCWP BLUE,E4-THUNDER,F4-LONGHORN WHITE,,,,,,,,,18B,,
"Sun, August 2",,,,,,,,,,,,,
,,,SMU 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,7:30 AM,7th,SMU 2,85,L#63,,L#67,,pt_7th,pt_8th,18B-085,,pt_7th
2-Aug,8:30 AM,5th,SMU 2,86,L#73,,L#75,,pt_5th,pt_6th,18B-086,,pt_5th
2-Aug,9:30 AM,9th-11th,SMU 2,87,5th cu_M,,6th cu_N,,,,18B-087,,au_9th-11th
2-Aug,10:30 AM,9th,SMU 2,82,W#69,,W#71,,pt_9th,pt_10th,18B-082,,pt_9th
2-Aug,11:30 AM,11th,SMU 2,81,L#69,,L#71,,pt_11th,pt_12th,18B-081,,pt_11th
2-Aug,12:30 PM,9th-11th,SMU 2,84,5th cu_M,,5th cu_N,,,,18B-084,,au_9th-11th
,,,,,,,,,,,,,
,,,SMU 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,7:30 AM,Semi,SMU 1,77,1st cu_M,,2nd cu_N,,90,89,18B-077,,au_Semi
2-Aug,8:30 AM,Semi,SMU 1,78,1st cu_N,,2nd cu_M,,90,89,18B-078,,au_Semi
2-Aug,9:30 AM,7th,SMU 1,88,4th cu_M,,4th cu_N,,au_7th,au_8th,18B-088,,au_7th
2-Aug,10:30 AM,5th,SMU 1,83,3rd cu_M,,3rd cu_N,,au_5th,au_6th,18B-083,,au_5th
2-Aug,11:30 AM,3rd,SMU 1,89,L#77,,L#78,,au_3rd,au_4th,18B-089,,au_3rd
2-Aug,12:30 PM,1st,SMU 1,90,W#77,,W#78,,au_1st,au_2nd,18B-090,,au_1st
,,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,9:30 AM,Semi,GARLAND ISD 2,80,W#61,,W#75,,92,91,18B-080,,pt_Semi
,,,,,,,,,,,,,
2-Aug,3:30 PM,3rd,GARLAND ISD 2,91,L#79,,L#80,,pt_3rd,pt_4th,18B-091,,pt_3rd
,,,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
2-Aug,9:30 AM,Semi,GARLAND ISD 1,79,W#65,,W#73,,92,91,18B-079,,pt_Semi
,,,,,,,,,,,,,
2-Aug,3:30 PM,1st,GARLAND ISD 1,92,W#79,,W#80,,pt_1st,pt_2nd,18B-092,,pt_1st
